step,time_sec,steer_norm,steer_rad,cte_m,cte_ft,speed_mph,x,y,yaw
0,0.0,1.7166195941643507e-05,2.0971941581905872e-05,9.948850741997302e-05,0.00032640587468374426,20.36171421352035,-28.149837493896484,-19.334476470947266,179.7891387939453
1,0.2,0.00013408052679913436,0.00016380617959050245,3.947014363788609e-06,1.294952260529222e-05,19.590133452799016,-29.941869735717773,-19.32785415649414,179.7842254638672
2,0.4,7.883963222236444e-05,9.631837868606263e-05,-2.546637544232006e-05,-8.355110320618134e-05,18.38884483667158,-31.635799407958984,-19.3216552734375,179.78720092773438
3,0.6,4.059177935906768e-06,4.9590976842972986e-06,1.8173661302985696e-05,5.962487494928759e-05,17.57487744563831,-33.2350959777832,-19.315874099731445,179.7908477783203
4,0.8,-4.387465325719981e-05,-5.3601663884321016e-05,9.66616698498369e-05,0.0003171314729101389,17.737672017411068,-34.804683685302734,-19.31023597717285,179.7916717529297
5,1.0,-2.9604345063206944e-05,-3.6167628363719924e-05,0.0001539773746822646,0.0005051751299525609,18.94215546667282,-36.442298889160156,-19.30432891845703,179.7904815673828
6,1.2,-1.3186524482048618e-05,-1.6109976959718796e-05,0.0001783126397988938,0.0005850152411578027,20.063782828621278,-38.195045471191406,-19.297969818115234,179.78955078125
7,1.4,8.130509488199526e-07,9.933043441733361e-07,0.00017934847390513081,0.0005884136471269093,20.28583068261551,-40.00724411010742,-19.29136848449707,179.78897094726562
8,1.6,8.925182782581693e-06,1.0903895805480054e-05,0.0001790524218215168,0.0005874423476089052,19.804140420079076,-41.80134201049805,-19.284833908081055,179.78863525390625
9,1.8,6.33970481013616e-06,7.745217366543347e-06,0.00017718773875293348,0.0005813246208101742,19.215969075462443,-43.542625427246094,-19.27849006652832,179.7888946533203
10,2.0,-3.423694947355803e-05,-4.182728117184585e-05,0.00018555446980588657,0.0006087745267179448,18.978380213421186,-45.245361328125,-19.272296905517578,179.78929138183594
11,2.2,-3.08202946204133e-07,-3.765315393775893e-07,0.00017724510561303907,0.0005815128322994831,19.263479795147333,-46.95189666748047,-19.26607322692871,179.78843688964844
12,2.4,2.046867524753177e-05,2.5006580549909562e-05,0.00015151223472384238,0.0004970874001713711,19.805881909868322,-48.699729919433594,-19.259681701660156,179.78811645507812
13,2.6,1.2884344336625837e-05,1.5740803476055784e-05,0.00013980933732360068,0.00045869206626476203,20.1472109527528,-50.48963928222656,-19.253150939941406,179.78868103027344
14,2.8,2.971483671266173e-06,3.6302616011858836e-06,0.0001448037751349472,0.0004750780176137402,20.112887439866498,-52.29203796386719,-19.246591567993164,179.7891845703125
15,3.0,-3.3217870072892364e-06,-4.05822718680526e-06,0.00015915951125707885,0.0005221768909126745,19.860741029202156,-54.079017639160156,-19.240095138549805,179.78941345214844
16,3.2,-3.5836163449152143e-06,-4.378104088582917e-06,0.00016794744412512025,0.0005510086925834595,19.646657625431708,-55.84339904785156,-19.233680725097656,179.78939819335938
17,3.4,-5.650380641058721e-07,-6.90307002918144e-07,0.00017501358235817634,0.0005741915615439993,19.63228337522579,-57.597450256347656,-19.227296829223633,179.78929138183594
18,3.6,-3.593857708600921e-05,-4.390615962597745e-05,0.00018306844573007372,0.0006006182794890551,19.802038521133316,-59.359798431396484,-19.22088623046875,179.7892303466797
19,3.8,3.231676740058997e-06,3.948139473330077e-06,0.0001649397626396023,0.0005411409708585128,19.999780725729526,-61.14009475708008,-19.214384078979492,179.78831481933594
20,4.0,2.7012961278696737e-05,3.30017347941838e-05,0.00013696869939066746,0.0004493723877088774,20.08036018110141,-62.93327331542969,-19.20782470703125,179.78799438476562
21,4.2,1.6357224876702098e-05,1.9983621631866955e-05,0.00012247829611433908,0.0004018316930237682,20.024478413831392,-64.726806640625,-19.201276779174805,179.78872680664062
22,4.4,4.15940643637005e-07,5.08154684331329e-07,0.0001301722351828141,0.0004270742760771838,19.916561354903703,-66.51200866699219,-19.19478416442871,179.78941345214844
23,4.6,-7.2237038166589665e-06,-8.825198952812259e-06,0.00015010740491591549,0.0004924783783443322,19.854652327831552,-68.28910827636719,-19.188329696655273,179.78961181640625
24,4.8,-4.927076389496108e-06,-6.019409225047394e-06,0.0001622277129953709,0.0005322431699037326,19.87930327612081,-70.06475830078125,-19.18187713623047,179.7894287109375
25,5.0,-1.5871211965088574e-06,-1.938985965774871e-06,0.00017525535087245135,0.0005749847653563733,19.95744507349662,-71.84565734863281,-19.17540168762207,179.7892303466797
26,5.2,2.9399190457917785e-08,3.591699098243816e-08,0.0001805391590780506,0.0005923200946696315,20.022430515341526,-73.6334228515625,-19.168895721435547,179.78915405273438
27,5.4,-3.49822217746801e-05,-4.273778034212668e-05,0.00017893955157972366,0.0005870720384048206,20.033007550092172,-75.42454528808594,-19.162370681762695,179.7891387939453
28,5.6,8.677855322704927e-06,1.0601735847748608e-05,0.0001575366005356839,0.0005168523805014932,19.998289644997655,-77.21421813964844,-19.15583038330078,179.78822326660156
29,5.8,2.656887988307716e-05,3.2459200553155363e-05,0.0001320632302590412,0.0004332783283630727,19.95770009981724,-79.00016784667969,-19.14929962158203,179.78805541992188
30,6.0,1.3273846511811157e-05,1.621665828347969e-05,0.00012059031335414088,0.00039563752366479957,19.944738793036894,-80.78363037109375,-19.142793655395508,179.78884887695312
31,6.2,-6.941371143073231e-07,-8.480273125492567e-07,0.00013070115462513875,0.00042880957614034024,19.964326543919558,-82.56757354736328,-19.13630485534668,179.7894287109375
32,6.4,-8.379163176568197e-06,-1.0236823652813366e-05,0.00015225965788647823,0.0004995395759802733,19.99585939170619,-84.35404968261719,-19.129819869995117,179.7895965576172
33,6.6,-4.452125587453305e-06,-5.439161830191702e-06,0.00016517992214137639,0.0005419288957583133,20.014511510010397,-86.14287567138672,-19.12331771850586,179.7893524169922
34,6.8,-8.053946425558708e-07,-9.839506348105073e-07,0.00017270245094002127,0.0005666091091420594,20.010910614038583,-87.93230438232422,-19.11680793762207,179.78915405273438
35,7.0,1.4575680848909943e-06,1.7807109293113277e-06,0.00017946277879757897,0.000588788663190249,19.994245077647122,-89.7206802368164,-19.110301971435547,179.7890625
36,7.2,1.8181314181373316e-06,2.221211153538378e-06,0.00018706865173793476,0.0006137423153678859,19.980875436754893,-91.50759887695312,-19.103797912597656,179.7890625
37,7.4,-3.363689939801816e-05,-4.1094199994558786e-05,0.00018718196761518657,0.0006141140866306087,19.98058308545869,-93.29389190673828,-19.097293853759766,179.78915405273438
38,7.6,3.5528443315103844e-06,4.340509919806237e-06,0.0001676293824079086,0.0005499651829791628,19.99106176524361,-95.08074188232422,-19.09076690673828,179.78831481933594
39,7.8,2.525017295147694e-05,3.084813629481938e-05,0.00013852836114369152,0.0004544893883746689,20.002485154575165,-96.86865997314453,-19.084224700927734,179.78805541992188
40,8.0,1.4377896043481482e-05,1.7565475596321327e-05,0.00012601555694141578,0.0004134368798356745,20.006658743087755,-98.65730285644531,-19.07769775390625,179.78875732421875
41,8.2,1.1050746872044244e-06,1.3500697453576453e-06,0.0001343362407585648,0.0004407357121303297,20.002679571182277,-100.44590759277344,-19.071191787719727,179.7893524169922
42,8.4,-3.818411629653971e-06,-4.6649534879482565e-06,0.00014467621942630996,0.0004746595277426148,19.99581672271631,-102.23395538330078,-19.064687728881836,179.78955078125
43,8.6,-2.948095603329319e-06,-3.6016883985874286e-06,0.00014851328363186178,0.00048724832147075737,19.99211986870683,-104.02151489257812,-19.058183670043945,179.78955078125
44,8.8,6.240439019645117e-07,7.62394435030044e-07,0.00015768421640580729,0.0005173366845528288,19.99378611239749,-105.80902099609375,-19.051679611206055,179.7893524169922
45,9.0,1.6900993284966083e-07,2.0647943496243064e-07,0.0001635692776101147,0.0005366446287543687,19.998470835044127,-107.5968246459961,-19.045177459716797,179.7893524169922
46,9.2,-3.584379326110077e-05,-4.379036222708681e-05,0.00017403822686471934,0.0005709915762268458,20.00215936273574,-109.38502502441406,-19.038673400878906,179.78933715820312
47,9.4,2.0119040647352615e-06,2.457943195887069e-06,0.00016176734182292473,0.0005307327657463243,20.002532586214414,-111.17345428466797,-19.032146453857422,179.78842163085938
48,9.6,2.382175671581148e-05,2.9103040179706885e-05,0.00013451384025169304,0.0004413183876513646,20.000240886266727,-112.96171569824219,-19.025606155395508,179.78811645507812
49,9.8,1.4477922684311041e-05,1.76876781434228e-05,0.00012580946479948422,0.0004127607244927398,19.997743627067617,-114.749755859375,-19.019084930419922,179.78875732421875
50,10.0,1.8342709671797419e-06,2.2409288406034907e-06,0.0001310822119124536,0.00043005976413085424,19.997019893068877,-116.5376205444336,-19.012577056884766,179.78932189941406
51,10.2,-3.227566423704337e-06,-3.943117899839589e-06,0.0001369536555667342,0.00044932303132956417,19.998250847478488,-118.3255615234375,-19.006072998046875,179.78955078125
52,10.4,-3.380415670476464e-06,-4.129853824621096e-06,0.000147243759245636,0.00048308321508345244,20.000121951421868,-120.11363983154297,-18.999568939208984,179.78955078125
53,10.6,-3.36407672800557e-07,-4.1098925386044047e-07,0.00015802582968471113,0.0005184574630627877,20.00115889712669,-121.90187072753906,-18.993066787719727,179.7893524169922
54,10.8,-6.883228866251201e-07,-8.409240705899092e-07,0.00016709507251012673,0.0005482121976941242,20.000838884165468,-123.69015502929688,-18.986562728881836,179.7893524169922
55,11.0,-1.270122682492185e-06,-1.5517088812007026e-06,0.0001757054993961741,0.0005764616306389439,19.999778662852627,-125.47830963134766,-18.980058670043945,179.7893524169922
56,11.2,-3.69759711564493e-05,-4.5173543961834116e-05,0.000184166373799431,0.0006042204058161252,19.998965932289366,-127.26643371582031,-18.973554611206055,179.7893524169922
57,11.4,7.079531527665428e-06,8.649063667348853e-06,0.00016614390687364616,0.0005450915754273333,19.998980804730735,-129.05445861816406,-18.967023849487305,179.7882537841797
58,11.6,2.535557633245087e-05,3.097690760535523e-05,0.0001355574386111393,0.0004447422668929702,19.99962426441242,-130.84259033203125,-18.960479736328125,179.78810119628906
59,11.8,1.4486886678341975e-05,1.769862945493039e-05,0.00012543558207006524,0.0004115340750787528,20.000282168128955,-132.63070678710938,-18.95395851135254,179.7887725830078
60,12.0,2.2428212949583735e-07,2.740054776050645e-07,0.0001337809395864834,0.0004389138578329182,20.000492838689965,-134.41883850097656,-18.947452545166016,179.78941345214844
61,12.2,-4.399512010923949e-06,-5.374883823745788e-06,0.00014223887039560167,0.00046666297554870574,20.00022415526258,-136.2069549560547,-18.940948486328125,179.7895965576172
62,12.4,-1.6957474853849118e-06,-2.071694702894747e-06,0.00015031439052101106,0.000493157464996954,19.99980837870782,-137.99508666992188,-18.934444427490234,179.7894744873047
63,12.6,-2.7709266892575503e-06,-3.3852411362659492e-06,0.00016366501589245522,0.0005369587307406028,19.99959508924634,-139.783203125,-18.927942276000977,179.7894744873047
64,12.8,3.494712486160714e-07,4.269490244342544e-07,0.0001687890693403641,0.0005537699302546401,19.99970616608929,-141.5713348388672,-18.921438217163086,179.78929138183594
65,13.0,-3.607389132792686e-05,-4.4071473035328246e-05,0.0001790078709236688,0.0005872961832412096,19.99998345192489,-143.35946655273438,-18.914934158325195,179.78929138183594
66,13.2,3.299325752849633e-06,4.030786272256397e-06,0.00016369528591498933,0.0005370580418413335,20.000192428125306,-145.1475830078125,-18.908405303955078,179.78836059570312
67,13.4,2.610309227104716e-05,3.189014782753832e-05,0.00013593309723485057,0.00044597474273198716,20.000204645554735,-146.9357147216797,-18.901865005493164,179.7880401611328
68,13.6,1.476046782492564e-05,1.8032863541711655e-05,0.000125317668219152,0.00041114721860012265,20.000053931211138,-148.7238311767578,-18.895341873168945,179.78875732421875
69,13.8,-7.646032925324055e-07,-9.341158424868398e-07,0.00013192383686545182,0.00043282100094164895,19.99989553275087,-150.511962890625,-18.888835906982422,179.78941345214844
70,14.0,-3.924697981872242e-06,-4.794803524453318e-06,0.0001402347344893627,0.00046008772630208074,19.999859438589983,-152.30007934570312,-18.88233184814453,179.78955078125
71,14.2,-1.358043939077719e-06,-1.6591222803712495e-06,0.0001508026082858334,0.0004947592293684936,19.999944958985665,-154.0882110595703,-18.87582778930664,179.78941345214844
72,14.4,-1.5627781706311013e-06,-1.9092460910600164e-06,0.00015926053909495145,0.0005225083470842805,20.00006018798894,-155.87632751464844,-18.86932373046875,179.78941345214844
73,14.6,4.614053048248878e-07,5.636988609045654e-07,0.00016777404372373284,0.0005504397936105717,20.000115733107922,-157.66445922851562,-18.86281967163086,179.78929138183594
74,14.8,-3.914101283356831e-05,-4.781857537877041e-05,0.00017819488433499587,0.0005846289043216278,20.00008796198496,-159.4525909423828,-18.8563175201416,179.78929138183594
75,15.0,4.935397544046064e-06,6.029575179561077e-06,0.0001599282566041144,0.0005246990213970428,20.00002191148007,-161.24070739746094,-18.84978675842285,179.7882537841797
76,15.2,2.9211354318088672e-05,3.568751157040893e-05,0.0001308093477683206,0.00042916454053221697,19.99996786865034,-163.02883911132812,-18.843244552612305,179.78797912597656
77,15.4,1.4993022692188911e-05,1.8316975823047193e-05,0.0001212628170750242,0.00039784390077242236,19.99996633659912,-164.8169708251953,-18.836721420288086,179.7887725830078
78,15.6,-1.9455575484794476e-06,-2.376887656977341e-06,0.00012830333085325855,0.0004209426999966048,20.000004226838808,-166.60508728027344,-18.830217361450195,179.7894744873047
79,15.8,-6.289590398129516e-06,-7.68399258939483e-06,0.00014239491073816515,0.00046717491894620174,20.000047131106857,-168.39321899414062,-18.82371711730957,179.78961181640625
80,16.0,-2.797989724447803e-06,-3.418304046357881e-06,0.00015090841536694673,0.0004951063654724935,20.00006876760533,-170.1813507080078,-18.81721305847168,179.78941345214844
81,16.2,-5.440982160557416e-07,-6.647247905552996e-07,0.00016081148320762806,0.0005275967465669145,20.00005178787833,-171.96946716308594,-18.810710906982422,179.78929138183594
82,16.4,-1.1320215871593237e-06,-1.3829907730325458e-06,0.00017235876075314457,0.0005654815166293468,20.000024063612464,-173.75759887695312,-18.80420684814453,179.78929138183594
83,16.6,-8.396845749949209e-07,-1.025842645271295e-06,0.00017740407350055973,0.0005820343805035764,20.000007061597465,-175.54571533203125,-18.79770278930664,179.78929138183594
84,16.8,-3.560778826341342e-05,-4.3502034921412175e-05,0.00018948051139603154,0.0006216552410085561,20.000017767450974,-177.33384704589844,-18.791200637817383,179.78915405273438
85,17.0,4.004889230091968e-06,4.892773172403358e-06,0.00016972867406731115,0.0005568526230269971,20.000041101841227,-179.12196350097656,-18.78466796875,179.78823852539062
86,17.2,2.6646252961967103e-05,3.255372724363521e-05,0.00013735262295156954,0.00045063197948442743,20.000042618117266,-180.91009521484375,-18.77812385559082,179.78797912597656
87,17.4,1.7721653898384697e-05,2.1650544567656584e-05,0.00012439495945842525,0.00040811995878957993,20.0000348150331,-182.69821166992188,-18.771596908569336,179.7886505126953
